time,distance/mm/per_crab,
  2016-09-09 00:00:16,0,
  2016-09-11 00:00:15,3.46,
  2016-09-12 00:00:15,8.06,
  2016-09-13 00:00:15,71.42,
  2016-09-14 00:00:15,13.61,
  2016-09-15 23:59:59,0,
  2016-09-16 23:59:58,18.15,
  2016-09-17 23:59:55,45.53,
  2016-09-18 23:59:57,16.73,
  2016-09-19 23:59:54,0,
  2016-09-21 23:59:52,0,
  2016-09-22 23:59:53,0,
  2016-09-23 23:59:51,0,
  2016-09-24 23:59:50,133.91,
  2016-09-25 23:59:49,0,
  2016-09-26 23:59:48,134.9,
  2016-09-27 23:59:48,100.05,
  2016-09-28 23:59:48,1.95,
  2016-09-29 23:59:44,19.82,
  2016-10-01 23:59:44,67.01,
  2016-10-02 23:59:44,43.94,
  2016-10-03 23:59:42,100.2,
  2016-10-04 23:59:40,5.85,
  2016-10-05 23:59:41,16.85,
  2016-10-06 23:59:38,0,
  2016-10-07 23:59:37,7.91,
  2016-10-08 23:59:39,5.34,
  2016-10-09 23:59:36,0,
  2016-10-11 23:59:35,14.19,
  2016-10-12 23:59:33,14.54,
  2016-10-13 23:59:33,19.32,
  2016-10-14 23:59:29,99.5,
  2016-10-15 23:59:30,148.62,
  2016-10-16 23:59:30,39.08,
  2016-10-17 23:59:27,10.67,
  2016-10-18 23:59:24,0,
  2016-10-19 23:59:26,35.16,
  2016-10-21 23:59:24,18.75,
  2016-10-22 23:59:23,0,
  2016-10-23 23:59:22,47.33,
  2016-10-24 23:59:22,38.3,
  2016-10-25 23:59:19,0,
  2016-10-26 23:59:18,0.42,
  2016-10-27 23:59:20,1.13,
  2016-10-28 23:59:19,69.74,
  2016-10-29 23:59:18,14.49,
  2016-10-31 23:59:17,0,
  2016-11-01 23:59:15,18.86,
  2016-11-02 23:59:16,9.27,
  2016-11-03 23:59:12,0,
  2016-11-04 23:59:12,0,
  2016-11-05 23:59:13,0,
  2016-11-06 23:59:09,0,
  2016-11-07 23:59:08,167.01,
  2016-11-08 23:59:08,0,
  2016-11-09 23:59:08,116.62,
  2016-11-11 23:59:08,0,
  2016-11-12 23:59:06,0,
  2016-11-13 23:59:05,0.25,
  2016-11-14 23:59:04,0,
  2016-11-15 23:59:05,0,
  2016-11-16 23:59:05,0,
  2016-11-17 23:59:03,0,
  2016-11-18 23:59:03,16.09,
  2016-11-19 23:59:02,0,
  2016-11-21 23:58:59,1.37,
  2016-11-22 23:59:00,0,
  2016-11-23 23:59:00,0,
  2016-11-24 23:59:00,0,
  2016-11-25 23:58:58,5.08,
  2016-11-26 23:58:56,0,
  2016-11-27 23:58:58,2.07,
  2016-11-28 23:58:56,3.56,
  2016-11-29 23:58:56,0,
  2016-12-01 23:58:54,0,
  2016-12-02 23:58:51,0,
  2016-12-03 23:58:53,0,
  2016-12-04 23:58:51,32.09,
  2016-12-05 23:58:49,13.58,
  2016-12-06 23:58:49,1.02,
  2016-12-07 23:58:49,0,
  2016-12-08 23:58:49,0,
  2016-12-09 23:58:50,0,
  2016-12-11 23:58:46,0,
  2016-12-12 23:58:43,12.26,
  2016-12-13 23:58:44,10.05,
  2016-12-14 23:58:44,0,
  2016-12-15 23:58:44,16.06,
  2016-12-16 23:58:42,0.53,
  2016-12-17 23:58:40,0,
  2016-12-18 23:58:41,0,
  2016-12-19 23:58:39,0,
  2016-12-21 23:58:38,7.58,
  2016-12-22 23:58:37,1.24,
  2016-12-23 23:58:38,0,
  2016-12-24 23:58:35,48.68,
  2016-12-25 23:58:34,0,
  2016-12-26 23:58:35,0,
  2016-12-27 23:58:30,0,
  2016-12-28 23:58:31,49.48,
  2016-12-29 23:58:32,0,
  2016-12-31 23:58:32,7.81,
  2017-01-01 23:58:28,9.21,
  2017-01-02 23:58:26,0,
  2017-01-03 23:58:26,11.18,
  2017-01-04 23:58:26,0.83,
  2017-01-05 23:58:27,0,
  2017-01-07 23:58:22,1.02,
  2017-01-08 23:58:23,11.35,
  2017-01-09 23:58:22,75.82,
  2017-01-12 23:58:21,0,
  2017-01-13 23:58:18,0,
  2017-01-14 23:58:17,100.97,
  2017-01-15 23:58:18,12.49,
  2017-01-16 23:58:17,2.79,
  2017-01-17 23:58:16,22.77,
  2017-01-18 23:58:11,16.91,
  2017-01-19 23:58:11,16.42,
  2017-01-21 23:58:12,0,
 2017-01-22 23:58:09,0,
  2017-01-23 23:58:07,0,
  2017-01-24 23:58:05,10,
