time,distance/mm/per_crab,
 2017-07-23 00:00:24,61.32,
 2017-07-24 00:00:24,6.42,
 2017-07-25 00:00:25,0,
 2017-07-26 23:59:51,25.05,
 2017-07-28 00:00:22,0,
 2017-07-29 00:00:19,10.82,
 2017-07-31 00:00:19,5.69,
 2017-08-01 00:00:18,7.58,
 2017-08-02 00:00:18,0,
 2017-08-03 00:00:16,7.89,
 2017-08-04 00:00:15,11.21,
 2017-08-05 00:00:14,0,
 2017-08-06 00:00:13,12.7,
 2017-08-07 00:00:12,13.84,
 2017-08-08 00:00:12,23.93,
 2017-08-09 00:00:10,15.67,
 2017-08-11 00:00:09,17.12,
 2017-08-12 00:00:08,37.06,
 2017-08-13 00:00:08,63.41,
 2017-08-14 00:00:05,25.2,
 2017-08-16 00:00:05,3.74,
 2017-08-17 00:00:04,3.54,
 2017-08-18 00:00:04,14.34,
 2017-08-19 00:00:02,20.03,
 2017-08-21 00:00:01,42.37,
 2017-08-22 00:00:02,7.74,
 2017-08-22 23:59:58,0,
 2017-08-24 23:59:45,0,
 2017-08-25 23:59:42,0,
 2017-08-26 23:59:42,0,
 2017-08-27 23:59:40,0,
 2017-08-28 23:59:42,0,
 2017-08-29 23:59:38,19.09,
 2017-08-31 23:59:37,3.54,
 2017-09-01 23:59:38,9.18,
 2017-09-02 23:59:37,59.88,
 2017-09-03 23:59:39,98.63,
 2017-09-04 23:59:33,16.06,
 2017-09-05 23:59:32,3.64,
 2017-09-06 23:59:47,0,
 2017-09-07 23:59:46,0,
 2017-09-08 23:59:44,0,
 2017-09-10 23:59:41,36.52,
 2017-09-11 23:59:41,2.92,
 2017-09-12 23:59:40,0,
 2017-09-13 23:59:39,0,
 2017-09-14 23:59:38,0,
 2017-09-15 23:59:40,0,
 2017-09-16 23:59:38,0,
 2017-09-17 23:59:37,46.73,
 2017-09-18 23:59:35,0,
 2017-09-20 23:59:35,9.85,
 2017-09-21 23:59:33,0,
 2017-09-22 23:59:35,0,
 2017-09-23 23:59:32,0,
 2017-09-24 23:59:31,4.84,
 2017-09-25 23:59:31,0,
 2017-09-26 23:59:30,4.64,
 2017-09-27 23:59:29,3.11,
 2017-09-28 23:59:30,44.61,
 2017-09-30 23:59:25,4.91,
 2017-10-01 23:59:26,3.96,
 2017-10-02 23:59:25,20.05,
 2017-10-03 23:59:24,15.84,
 2017-10-04 23:59:23,56.62,
 2017-10-05 23:59:22,24.77,
 2017-10-07 23:59:20,22.46,
 2017-10-08 23:59:20,3.2,
 2017-10-10 23:59:17,0,
 2017-10-11 23:59:18,0,
 2017-10-12 23:59:17,0,
 2017-10-13 23:59:16,0,
 2017-10-14 23:59:14,14.45,
