E,theta,rho,,,,,,,,,,
7,0,0.4725797,,,,,,,,,,
7,0.5,0.4849012,,,,,,,,,,
7,1,0.4889892,,,,,,,,,,
7,1.5,0.4879855,,,,,,,,,,
7,2,0.4837873,,,,,,,,,,
7,2.5,0.4776041,,,,,,,,,,
7,3,0.4704126,,,,,,,,,,
7,3.5,0.4629389,,,,,,,,,,
7,4,0.4555881,,,,,,,,,,
7,4.5,0.4484924,,,,,,,,,,
7,5,0.4416284,,,,,,,,,,
7,5.5,0.4349262,,,,,,,,,,
7,6,0.4283365,,,,,,,,,,
7,6.5,0.4218554,,,,,,,,,,
7,7,0.4155198,,,,,,,,,,
7,7.5,0.4093885,,,,,,,,,,
7,8,0.4035228,,,,,,,,,,
7,8.5,0.3979736,,,,,,,,,,
7,9,0.3927747,,,,,,,,,,
7,9.5,0.3879419,,,,,,,,,,
7,10,0.3834739,,,,,,,,,,
