time,distance_permin_pernumber,shrimp_number
 2018-08-24 23:55:56,15.92,22.85
 2018-08-25 23:55:54,18.33,18.35
 2018-08-26 23:55:56,19.44,23.15
 2018-08-27 23:55:58,20.23,16.24
 2018-08-28 23:55:59,20.67,24.28
 2018-08-30 23:56:07,15.13,19.21
 2018-08-31 23:56:08,17.35,19.15
 2018-09-01 23:56:10,13.91,22.31
 2018-09-02 23:56:09,16.15,16.3
 2018-09-03 23:56:09,18.37,17.38
 2018-09-04 23:56:12,16.42,18.86
 2018-09-05 23:56:14,20.49,15.35
 2018-09-06 23:56:13,15.6,22.01
 2018-09-07 23:56:18,18.94,18.04
 2018-09-08 23:56:20,16.08,16.7
 2018-09-10 23:56:24,15.38,12.24
 2018-09-11 23:56:23,24.2,16.73
 2018-09-12 23:56:27,16.69,13.86
 2018-09-13 23:56:28,16.52,12.86
 2018-09-14 23:56:30,19.4,18.27
 2018-09-15 23:56:32,15.93,15.21
 2018-09-16 23:56:34,19.21,16.77
 2018-09-17 23:56:36,13.95,13.88
 2018-09-18 23:56:38,12.84,18.44
 2018-09-20 23:56:40,16.51,15.38
 2018-09-21 23:56:43,16.01,15.4
 2018-09-22 23:56:45,21.87,16.02
 2018-09-23 23:56:47,20.35,18.99
 2018-09-24 23:56:48,10.56,18.91
 2018-09-25 23:56:51,14.83,17.25
 2018-09-26 23:56:53,11.19,22.3
 2018-09-27 23:56:55,15.67,19.89
 2018-09-28 23:56:55,17.95,21.89
 2018-09-30 23:57:00,21.06,22.67
 2018-10-01 23:57:02,18.74,19.05
 2018-10-02 23:57:04,22.68,18.18
 2018-10-03 23:57:05,16.71,17.94
 2018-10-05 23:57:09,21.91,21.74
 2018-10-06 23:57:11,16,13.46
 2018-10-07 23:57:14,15.89,13.99
 2018-10-08 23:57:15,16.01,18.09
 2018-10-10 23:57:20,22.51,18.33
 2018-10-11 23:57:21,24.92,15.8
 2018-10-12 23:57:23,20.15,18.06
 2018-10-13 23:57:24,28.06,18.95
 2018-10-14 23:57:26,14.99,21.24
 2018-10-15 23:57:27,13.36,13.89
 2018-10-16 23:57:29,17.86,17.87
 2018-10-17 23:57:30,17.09,11.92
 2018-10-18 23:57:34,15.82,17.69
 2018-10-20 23:57:37,21.96,16.12
 2018-10-21 23:57:39,16.65,14.29
 2018-10-22 23:57:41,16.84,12.98
 2018-10-23 23:57:43,32.14,18.29
 2018-10-24 23:57:43,24.48,14.65
 2018-10-25 23:57:46,15.19,11.47
 2018-10-26 23:57:47,19.15,15.38
 2018-10-27 23:57:50,22.45,19.24
 2018-10-28 23:57:52,14.9,10.54
 2018-10-30 23:57:56,22.39,12.44
 2018-10-31 23:57:57,14.05,14.24
 2018-11-01 23:58:00,9.57,9.75
 2018-11-02 23:58:01,15.87,13.24
 2018-11-03 23:58:02,22.35,18.04
 2018-11-04 23:58:04,21.9,20.89
 2018-11-05 23:58:07,15.95,14.88
 2018-11-06 23:58:08,21.93,17.68
 2018-11-07 23:58:10,19.09,15.65
 2018-11-08 23:58:12,22.35,15.26
 2018-11-10 23:58:16,13.12,14.27
 2018-11-12 23:58:21,18.32,16.93
 2018-11-13 23:58:21,17.49,18.97
 2018-11-14 23:58:24,14.25,21.69
 2018-11-15 23:58:25,19.65,22.79
 2018-11-16 23:58:26,20.31,19.45
 2018-11-17 23:58:28,13.91,13.32
 2018-11-18 23:58:36,12.67,16.85
 2018-11-21 23:58:34,11.39,14.9
 2018-11-22 23:58:37,17.06,20.07
 2018-11-23 23:58:40,18.63,16.43
 2018-11-24 23:58:41,20.47,14.77
 2018-11-25 23:58:42,18.02,11.47
 2018-11-26 23:58:45,15.83,16.28
 2018-11-27 23:58:47,12.89,18.49
 2018-11-28 23:58:48,16.62,15.16
 2018-11-30 23:58:58,12.14,11.37
