time,distance_permin_pernumber,shrimp_number
 2016-09-09 00:00:16,15.49,25.1
 2016-09-15 23:59:59,18.02,17.76
 2016-09-19 23:59:54,12.49,16.76
 2016-09-21 23:59:52,11.43,19.18
 2016-09-22 23:59:53,15.89,22.56
 2016-09-23 23:59:51,17.58,20.83
 2016-09-25 23:59:49,14.86,22.35
 2016-10-06 23:59:38,14.75,20.28
 2016-10-09 23:59:36,18.11,20.6
 2016-10-18 23:59:24,15.37,24.36
 2016-10-22 23:59:23,17.13,17.46
 2016-10-25 23:59:19,14.32,16.5
 2016-10-31 23:59:17,10.28,17.46
 2016-11-03 23:59:12,15.05,25.05
 2016-11-04 23:59:12,13.52,20.82
 2016-11-05 23:59:13,15.23,24.2
 2016-11-06 23:59:09,14.43,19.17
 2016-11-08 23:59:08,16.3,28.01
 2016-11-11 23:59:08,27.54,31.76
 2016-11-12 23:59:06,20.81,30.11
 2016-11-14 23:59:04,17.26,31.95
 2016-11-15 23:59:05,14.76,20.95
 2016-11-16 23:59:05,9.25,21.1
 2016-11-17 23:59:03,9.29,17.37
 2016-11-19 23:59:02,9.52,17.21
 2016-11-22 23:59:00,13.44,26.61
 2016-11-23 23:59:00,15.06,28.32
 2016-11-24 23:59:00,15.23,33.03
 2016-11-26 23:58:56,15.48,33.12
 2016-11-29 23:58:56,15.49,26.97
 2016-12-01 23:58:54,18.8,24.14
 2016-12-02 23:58:51,12.71,17.8
 2016-12-03 23:58:53,12.9,25.7
 2016-12-07 23:58:49,14.49,24.83
 2016-12-08 23:58:49,14.66,15.92
 2016-12-09 23:58:50,14.32,20.58
 2016-12-11 23:58:46,16.88,22.5
 2016-12-14 23:58:44,21.58,29.15
 2016-12-17 23:58:40,15.28,22.95
 2016-12-18 23:58:41,15.18,21.15
 2016-12-19 23:58:39,18.34,31.07
 2016-12-23 23:58:38,11.88,27.48
 2016-12-25 23:58:34,16.1,24.67
 2016-12-26 23:58:35,20.47,19.75
 2016-12-27 23:58:30,14.68,21.46
 2016-12-29 23:58:32,15.55,17.01
 2017-01-05 23:58:27,12.99,13.41
 2017-01-12 23:58:21,12.57,16.11
 2017-01-13 23:58:18,17.59,19.04
 2017-01-21 23:58:12,21.93,31.34
 2017-01-22 23:58:09,14.6,22.07
 2017-01-23 23:58:07,21.84,15.76
