day,time,tidal_range
23-Sep-20,0:59:59,-0.2628
23-Sep-20,1:59:59,-0.1224
23-Sep-20,2:59:59,0.0432
23-Sep-20,3:59:59,0.1949
23-Sep-20,4:59:59,0.2955
23-Sep-20,5:59:59,0.319
23-Sep-20,6:59:59,0.2596
23-Sep-20,7:59:59,0.1341
23-Sep-20,8:59:59,-0.0224
23-Sep-20,9:59:59,-0.1684
23-Sep-20,10:59:59,-0.268
23-Sep-20,11:59:59,-0.2997
23-Sep-20,12:59:59,-0.2598
23-Sep-20,13:59:59,-0.1596
23-Sep-20,14:59:59,-0.0229
23-Sep-20,15:59:59,0.119
23-Sep-20,16:59:59,0.2321
23-Sep-20,17:59:59,0.2874
23-Sep-20,18:59:59,0.2699
23-Sep-20,19:59:59,0.1841
23-Sep-20,20:59:59,0.0535
23-Sep-20,21:59:59,-0.0869
23-Sep-20,22:59:59,-0.2023
23-Sep-20,23:59:59,-0.267
24-Sep-20,0:59:59,-0.2695
24-Sep-20,1:59:59,-0.2119
24-Sep-20,2:59:59,-0.1078
24-Sep-20,3:59:59,0.0198
24-Sep-20,4:59:59,0.1422
24-Sep-20,5:59:59,0.2298
24-Sep-20,6:59:59,0.2602
24-Sep-20,7:59:59,0.2258
24-Sep-20,8:59:59,0.1372
24-Sep-20,9:59:59,0.0193
24-Sep-20,10:59:59,-0.0974
24-Sep-20,11:59:59,-0.1854
24-Sep-20,12:59:59,-0.2274
24-Sep-20,13:59:59,-0.2168
24-Sep-20,14:59:59,-0.1575
24-Sep-20,15:59:59,-0.0623
24-Sep-20,16:59:59,0.0477
24-Sep-20,17:59:59,0.1459
24-Sep-20,18:59:59,0.2069
24-Sep-20,19:59:59,0.2138
24-Sep-20,20:59:59,0.1648
24-Sep-20,21:59:59,0.0739
24-Sep-20,22:59:59,-0.0343
24-Sep-20,23:59:59,-0.1334
25-Sep-20,0:59:59,-0.2019
25-Sep-20,1:59:59,-0.2263
25-Sep-20,2:59:59,-0.2016
25-Sep-20,3:59:59,-0.1316
25-Sep-20,4:59:59,-0.0294
25-Sep-20,5:59:59,0.0831
25-Sep-20,6:59:59,0.1787
25-Sep-20,7:59:59,0.233
25-Sep-20,8:59:59,0.2322
25-Sep-20,9:59:59,0.1779
25-Sep-20,10:59:59,0.0857
25-Sep-20,11:59:59,-0.0213
25-Sep-20,12:59:59,-0.1193
25-Sep-20,13:59:59,-0.1885
25-Sep-20,14:59:59,-0.2153
25-Sep-20,15:59:59,-0.1936
25-Sep-20,16:59:59,-0.1265
25-Sep-20,17:59:59,-0.0283
25-Sep-20,18:59:59,0.0768
25-Sep-20,19:59:59,0.1605
25-Sep-20,20:59:59,0.1999
25-Sep-20,21:59:59,0.1848
25-Sep-20,22:59:59,0.1204
25-Sep-20,23:59:59,0.0243
26-Sep-20,0:59:59,-0.0802
26-Sep-20,1:59:59,-0.1697
26-Sep-20,2:59:59,-0.2241
26-Sep-20,3:59:59,-0.2293
26-Sep-20,4:59:59,-0.1801
26-Sep-20,5:59:59,-0.0835
26-Sep-20,6:59:59,0.04
26-Sep-20,7:59:59,0.16
26-Sep-20,8:59:59,0.2455
26-Sep-20,9:59:59,0.2745
26-Sep-20,10:59:59,0.2407
26-Sep-20,11:59:59,0.154
26-Sep-20,12:59:59,0.0354
26-Sep-20,13:59:59,-0.0889
26-Sep-20,14:59:59,-0.1923
26-Sep-20,15:59:59,-0.2522
26-Sep-20,16:59:59,-0.2533
26-Sep-20,17:59:59,-0.1929
26-Sep-20,18:59:59,-0.0845
26-Sep-20,19:59:59,0.0443
26-Sep-20,20:59:59,0.1583
26-Sep-20,21:59:59,0.2263
26-Sep-20,22:59:59,0.2308
26-Sep-20,23:59:59,0.172
27-Sep-20,0:59:59,0.0661
27-Sep-20,1:59:59,-0.0609
27-Sep-20,2:59:59,-0.1791
27-Sep-20,3:59:59,-0.2599
27-Sep-20,4:59:59,-0.281
27-Sep-20,5:59:59,-0.232
27-Sep-20,6:59:59,-0.1198
27-Sep-20,7:59:59,0.0307
27-Sep-20,8:59:59,0.1816
27-Sep-20,9:59:59,0.2934
27-Sep-20,10:59:59,0.3373
27-Sep-20,11:59:59,0.303
27-Sep-20,12:59:59,0.2001
27-Sep-20,13:59:59,0.0535
27-Sep-20,14:59:59,-0.1036
27-Sep-20,15:59:59,-0.236
27-Sep-20,16:59:59,-0.3129
27-Sep-20,17:59:59,-0.3145
27-Sep-20,18:59:59,-0.238
27-Sep-20,19:59:59,-0.1018
27-Sep-20,20:59:59,0.0582
27-Sep-20,21:59:59,0.198
27-Sep-20,22:59:59,0.2795
27-Sep-20,23:59:59,0.2819
28-Sep-20,0:59:59,0.2062
28-Sep-20,1:59:59,0.0732
28-Sep-20,2:59:59,-0.0839
28-Sep-20,3:59:59,-0.2267
28-Sep-20,4:59:59,-0.3192
28-Sep-20,5:59:59,-0.3349
28-Sep-20,6:59:59,-0.2645
28-Sep-20,7:59:59,-0.1204
28-Sep-20,8:59:59,0.0634
28-Sep-20,9:59:59,0.2395
28-Sep-20,10:59:59,0.3617
28-Sep-20,11:59:59,0.3982
28-Sep-20,12:59:59,0.3408
28-Sep-20,13:59:59,0.205
28-Sep-20,14:59:59,0.0239
28-Sep-20,15:59:59,-0.1603
28-Sep-20,16:59:59,-0.3051
28-Sep-20,17:59:59,-0.3759
28-Sep-20,18:59:59,-0.3539
28-Sep-20,19:59:59,-0.2431
28-Sep-20,20:59:59,-0.0713
28-Sep-20,21:59:59,0.1152
28-Sep-20,22:59:59,0.2652
28-Sep-20,23:59:59,0.338
29-Sep-20,0:59:59,0.3154
29-Sep-20,1:59:59,0.2053
29-Sep-20,2:59:59,0.0375
29-Sep-20,3:59:59,-0.1453
29-Sep-20,4:59:59,-0.2976
29-Sep-20,5:59:59,-0.38
29-Sep-20,6:59:59,-0.3681
29-Sep-20,7:59:59,-0.2594
29-Sep-20,8:59:59,-0.0771
29-Sep-20,9:59:59,0.134
29-Sep-20,10:59:59,0.3188
29-Sep-20,11:59:59,0.4281
29-Sep-20,12:59:59,0.4339
29-Sep-20,13:59:59,0.336
29-Sep-20,14:59:59,0.1604
29-Sep-20,15:59:59,-0.0497
29-Sep-20,16:59:59,-0.2443
29-Sep-20,17:59:59,-0.3778
