time,distance_permin_pernumber,shrimp_number
 2018-10-02 23:57:04,32.64,32.58
 2018-10-03 23:57:05,25.62,37.62
 2018-10-05 23:57:09,33.31,39.41
 2018-10-25 23:57:46,29.77,25.17
 2018-11-05 23:58:07,23.68,28.63
 2018-11-13 23:58:21,24.84,37.3
 2018-12-25 23:59:37,14.89,35
 2019-01-01 23:59:48,18.46,34.22
 2019-01-18 00:00:17,18.14,36.96
 2019-02-14 00:01:10,21.21,32.52
 2019-02-16 00:01:09,19.85,27.82
 2019-02-21 00:01:18,21.94,40.27
 2019-02-25 00:01:25,19.74,30.69
 2019-02-26 00:01:26,14.55,22.36
 2019-03-18 00:02:05,18.7,34.03
 2019-04-01 00:02:33,12.36,31.33
 2019-04-13 00:02:48,14.6,33.79
 2019-04-14 00:02:49,12.69,21.16
 2019-04-15 00:02:52,11.35,23.51
 2019-04-16 00:02:53,15.08,20.47
 2019-04-17 00:02:57,14.52,23.48
 2019-04-26 00:03:13,13.84,29.7
 2019-04-27 00:03:13,14.2,26.16
 2019-04-29 00:03:15,12.83,24.09
 2019-05-07 00:03:31,15.39,28.96
 2019-05-08 00:03:33,15.22,27.56
 2019-05-09 00:03:35,14.88,22.56
 2019-05-11 00:03:37,17.1,31.13
 2019-05-15 00:03:46,16.6,38.11
 2019-05-16 00:03:48,16.65,32.56
 2019-05-18 00:03:52,19.26,31.95
 2019-05-22 00:03:57,15.16,22.81
 2019-05-23 00:03:59,15.7,24.79
 2019-05-29 00:04:10,17.22,29.8
 2019-06-02 00:04:18,20.43,40.21
 2019-06-09 00:04:30,15.87,28.49
 2019-06-11 00:04:36,19.8,27.27
