time,distance_permin_pernumber,shrimp_number
 2017-07-23 00:00:24,17.9,31.22
 2017-07-24 00:00:24,12.1,15.44
 2017-07-25 00:00:25,12.97,19.16
 2017-07-26 23:59:51,14.94,20.79
 2017-07-28 00:00:22,10.46,21.05
 2017-07-29 00:00:19,14.38,15.29
 2017-07-31 00:00:19,11.88,18.68
 2017-08-01 00:00:18,16.76,24.43
 2017-08-02 00:00:18,12.49,15.23
 2017-08-03 00:00:16,12.73,12.81
 2017-08-04 00:00:15,18.22,21.18
 2017-08-05 00:00:14,15.88,23.14
 2017-08-06 00:00:13,17.1,13.97
 2017-08-07 00:00:10,14.39,23.06
 2017-08-08 00:00:12,15.96,22.05
 2017-08-09 00:00:10,19.34,18.85
 2017-08-11 00:00:07,15.62,32.46
 2017-08-12 00:00:08,17.23,28.59
 2017-08-13 00:00:08,21.3,22.98
 2017-08-14 00:00:05,18.22,20.45
 2017-08-16 00:00:05,12.44,14.19
 2017-08-17 00:00:04,13.01,17.62
 2017-08-18 00:00:04,13.18,17.7
 2017-08-19 00:00:02,14.88,17.46
 2017-08-21 00:00:01,17.05,31.32
 2017-08-22 00:00:02,13.39,17.92
 2017-08-22 23:59:58,12.14,13.61
 2017-08-24 23:59:45,15.22,10.78
 2017-08-25 23:59:42,15.51,10.61
 2017-08-26 23:59:42,16.26,20.34
 2017-08-27 23:59:40,11.06,13.26
 2017-08-28 23:59:42,16.64,21.99
 2017-08-29 23:59:38,13.9,19.71
 2017-08-31 23:59:37,17.32,11.39
 2017-09-01 23:59:38,14.31,15.75
 2017-09-02 23:59:37,14.96,12.73
 2017-09-03 23:59:39,14.67,16.64
 2017-09-04 23:59:33,16.75,16.88
 2017-09-05 23:59:32,12.84,18.47
 2017-09-06 23:59:47,14.33,16.64
 2017-09-07 23:59:46,14.45,19.72
 2017-09-08 23:59:44,18.87,22.64
 2017-09-10 23:59:41,15.72,15.06
 2017-09-11 23:59:41,15.95,19.51
 2017-09-12 23:59:40,15.15,20.68
 2017-09-13 23:59:39,15.37,19.45
 2017-09-14 23:59:38,12.32,13.5
 2017-09-15 23:59:40,14.59,19.01
 2017-09-16 23:59:38,14.06,16.46
 2017-09-17 23:59:37,15.46,15.54
 2017-09-18 23:59:35,16.63,14.24
 2017-09-20 23:59:35,15.07,16.37
 2017-09-21 23:59:33,15.44,18.8
 2017-09-22 23:59:35,14.16,19.53
 2017-09-23 23:59:32,17.67,11.34
 2017-09-24 23:59:31,16.61,15.2
 2017-09-25 23:59:31,15.44,12.95
 2017-09-26 23:59:30,15.74,12.21
 2017-09-27 23:59:29,12.31,11.52
 2017-09-28 23:59:30,11.6,8.79
 2017-09-30 23:59:25,12.5,16.18
 2017-10-01 23:59:26,14.47,14.63
 2017-10-02 23:59:25,15.95,16.81
 2017-10-03 23:59:24,15.06,11.19
 2017-10-04 23:59:23,13.01,23.4
 2017-10-05 23:59:22,13.37,20.37
 2017-10-07 23:59:20,12.64,16
 2017-10-08 23:59:20,9.68,17.34
 2017-10-10 23:59:17,10.92,20.55
 2017-10-11 23:59:18,18.32,20.89
 2017-10-12 23:59:17,14.04,14.86
 2017-10-13 23:59:16,15.41,16.71
 2017-10-14 23:59:14,12.19,19.65
 2017-10-15 23:59:15,12.51,22.5
 2017-10-16 23:59:13,18.14,16.83
 2017-10-17 23:59:11,10.13,13.05
 2017-10-18 23:59:11,8.93,12.18
 2017-10-20 23:59:09,17.86,27.02
 2017-10-21 23:59:09,16.02,19.97
 2017-10-23 23:59:07,11.45,12.42
 2017-10-24 23:59:06,11.89,14.47
 2017-10-25 23:59:06,16.07,19.15
 2017-10-26 23:59:03,14.31,16.2
 2017-10-27 23:59:03,15.63,16.41
 2017-10-28 23:59:02,17.03,15.5
 2017-10-31 23:59:02,18.25,14.77
 2017-11-01 23:59:01,15.85,11.6
 2017-11-02 23:58:59,16.19,15.05
 2017-11-03 23:58:57,16.75,14.11
 2017-11-04 23:58:57,15.92,12.44
 2017-11-05 23:58:54,17.48,14.03
 2017-11-07 23:58:55,17.5,18.34
 2017-11-08 23:58:55,15.14,15.08
 2017-11-10 23:58:53,14.03,19.14
 2017-11-11 23:58:52,22.07,11.23
 2017-11-12 23:58:52,12.69,11.22
 2017-11-13 23:58:48,14.97,14.39
 2017-11-14 23:58:49,16.22,15.16
 2017-11-15 23:58:49,13.84,14.33
 2017-11-16 23:58:46,17.88,15.84
 2017-11-17 23:58:47,14.49,11.44
 2017-11-18 23:58:46,15.66,16.7
 2017-11-20 23:58:42,13.98,16.85
 2017-11-21 23:58:44,13.05,12.74
 2017-11-22 23:58:42,11.73,13.42
 2017-11-23 23:58:41,11.49,17.59
 2017-11-24 23:58:40,10.91,12.38
 2017-11-25 23:58:38,18.11,15.4
 2017-11-26 23:58:38,15.17,13.59
 2017-11-27 23:58:37,17.3,16.15
 2017-11-28 23:58:37,18.77,10.99
 2017-11-30 23:58:36,10.95,14.42
