day,time,tidal_range
27-Jun-19,0:59:59,-0.0852
27-Jun-19,1:59:59,-0.1766
27-Jun-19,2:59:59,-0.2283
27-Jun-19,3:59:59,-0.2309
27-Jun-19,4:59:59,-0.1842
27-Jun-19,5:59:59,-0.0978
27-Jun-19,6:59:59,0.0089
27-Jun-19,7:59:59,0.1092
27-Jun-19,8:59:59,0.1756
27-Jun-19,9:59:59,0.1895
27-Jun-19,10:59:59,0.1478
27-Jun-19,11:59:59,0.0642
27-Jun-19,12:59:59,-0.0367
27-Jun-19,13:59:59,-0.1273
27-Jun-19,14:59:59,-0.1851
27-Jun-19,15:59:59,-0.1959
27-Jun-19,16:59:59,-0.1551
27-Jun-19,17:59:59,-0.069
27-Jun-19,18:59:59,0.0452
27-Jun-19,19:59:59,0.1605
27-Jun-19,20:59:59,0.246
27-Jun-19,21:59:59,0.2762
27-Jun-19,22:59:59,0.2401
27-Jun-19,23:59:59,0.1455
28-Jun-19,0:59:59,0.0161
28-Jun-19,1:59:59,-0.1166
28-Jun-19,2:59:59,-0.2227
28-Jun-19,3:59:59,-0.2798
28-Jun-19,4:59:59,-0.2763
28-Jun-19,5:59:59,-0.2123
28-Jun-19,6:59:59,-0.1009
28-Jun-19,7:59:59,0.0322
28-Jun-19,8:59:59,0.1535
28-Jun-19,9:59:59,0.2303
28-Jun-19,10:59:59,0.2415
28-Jun-19,11:59:59,0.1854
28-Jun-19,12:59:59,0.0796
28-Jun-19,13:59:59,-0.0456
28-Jun-19,14:59:59,-0.1569
28-Jun-19,15:59:59,-0.2266
28-Jun-19,16:59:59,-0.2371
28-Jun-19,17:59:59,-0.1839
28-Jun-19,18:59:59,-0.0763
28-Jun-19,19:59:59,0.0623
28-Jun-19,20:59:59,0.1975
28-Jun-19,21:59:59,0.2923
28-Jun-19,22:59:59,0.318
28-Jun-19,23:59:59,0.2645
29-Jun-19,0:59:59,0.1443
29-Jun-19,1:59:59,-0.0126
29-Jun-19,2:59:59,-0.1679
29-Jun-19,3:59:59,-0.2858
29-Jun-19,4:59:59,-0.3404
29-Jun-19,5:59:59,-0.3195
29-Jun-19,6:59:59,-0.2267
29-Jun-19,7:59:59,-0.0819
29-Jun-19,8:59:59,0.0808
29-Jun-19,9:59:59,0.2201
29-Jun-19,10:59:59,0.2987
29-Jun-19,11:59:59,0.2956
29-Jun-19,12:59:59,0.2131
29-Jun-19,13:59:59,0.0757
29-Jun-19,14:59:59,-0.0783
29-Jun-19,15:59:59,-0.2088
29-Jun-19,16:59:59,-0.2833
29-Jun-19,17:59:59,-0.2833
29-Jun-19,18:59:59,-0.2065
29-Jun-19,19:59:59,-0.0688
29-Jun-19,20:59:59,0.098
29-Jun-19,21:59:59,0.2512
