time,distance/mm/per_crab
 2019-06-28 00:00:45,53.74
 2019-06-29 00:01:00,0
 2019-06-30 00:00:53,0
 2019-07-01 00:00:58,0
 2019-07-02 00:00:58,0
 2019-07-03 00:01:02,3.12
 2019-07-04 00:01:02,48.05
 2019-07-05 00:01:03,0
 2019-07-06 00:01:05,35.22
 2019-07-07 00:01:10,0
 2019-07-08 00:01:09,0
 2019-07-09 00:01:12,5.45
 2019-07-10 00:01:13,0
 2019-07-11 00:01:15,11.73
 2019-07-12 00:01:18,0
 2019-07-13 00:01:19,8.33
 2019-07-14 00:01:20,0
 2019-07-15 00:01:22,33.79
 2019-07-16 00:01:25,0
 2019-07-17 00:01:26,3.86
 2019-07-18 00:01:28,0
 2019-07-19 00:01:28,0
 2019-07-20 00:01:32,0
 2019-07-21 00:01:35,0
 2019-07-22 00:01:35,11.11
 2019-07-23 00:01:38,0
 2019-07-24 00:01:38,0
 2019-07-25 00:01:40,0
 2019-07-26 00:01:44,14.09
 2019-07-27 00:01:45,0
 2019-07-28 00:01:47,5.31
 2019-07-29 00:01:47,0
 2019-07-30 00:01:51,0
 2019-07-31 00:01:52,0
 2019-08-01 00:01:52,0
 2019-08-02 00:01:54,0
 2019-08-03 00:01:58,0
 2019-08-04 00:01:59,0
 2019-08-05 00:02:01,0
 2019-08-07 00:02:04,0
 2019-08-08 00:02:07,57.6
 2019-08-09 00:02:08,0
 2019-08-10 00:02:09,0
 2019-08-11 00:01:15,0
 2019-08-12 00:02:14,0
 2019-08-13 00:02:16,0
 2019-08-14 00:01:21,27.02
 2019-08-15 00:02:20,67.93
 2019-08-16 00:02:21,156.05
 2019-08-17 00:02:23,29.11
 2019-08-18 00:02:25,38.32
 2019-08-19 00:02:25,30.25
 2019-08-20 00:02:30,0
 2019-08-21 00:02:30,176.85
 2019-08-22 00:02:33,0
 2019-08-23 00:02:34,91.04
 2019-08-24 00:02:36,0
 2019-08-25 00:02:38,17.88
 2019-08-26 00:02:38,8.44
 2019-08-27 00:02:42,7.56
 2019-08-28 00:02:44,16.06
 2019-08-29 00:02:45,27.56
 2019-08-30 00:02:49,0
 2019-08-31 00:02:48,22.37
 2019-09-01 00:02:51,118.61
 2019-09-02 00:02:54,0
 2019-09-03 00:02:53,0
 2019-09-04 00:02:54,0
 2019-09-05 00:02:58,0
 2019-09-06 00:02:59,0
 2019-09-07 00:03:02,0
 2019-09-08 00:03:03,15.82
 2019-09-09 00:03:06,0
 2019-09-10 00:03:08,0
 2019-09-11 00:03:09,0
 2019-09-12 00:03:10,29.31
 2019-09-13 00:03:12,0
 2019-09-14 00:03:15,0
 2019-09-15 00:03:15,18.24
 2019-09-16 00:03:17,0
 2019-09-17 00:03:18,4.21
 2019-09-18 00:03:21,0
 2019-09-19 00:03:22,0
 2019-09-20 00:03:25,0
 2019-09-21 00:03:26,0
 2019-09-22 00:03:28,0
 2019-09-23 00:03:29,93.98
 2019-09-24 00:03:31,0
 2019-09-25 00:03:33,48.73
 2019-09-26 00:03:35,59.56
 2019-09-27 00:03:37,32.51
 2019-09-28 00:03:40,0
 2019-09-29 00:03:42,40.06
 2019-09-30 00:03:44,0
 2019-10-01 00:03:46,42.48
 2019-10-02 00:03:46,87.04
 2019-10-03 00:03:49,85.79
 2019-10-04 00:03:51,124.49
 2019-10-05 00:03:52,0
 2019-10-06 00:03:53,0
 2019-10-07 00:03:57,76.97
 2019-10-08 00:03:57,40.35
 2019-10-09 00:04:01,176.54
 2019-10-10 00:04:02,0
 2019-10-11 00:04:04,0
 2019-10-12 00:04:05,79.8
 2019-10-13 00:04:07,0
 2019-10-14 00:04:08,0
 2019-10-15 00:04:09,0
 2019-10-16 00:04:12,33.74
 2019-10-17 00:04:15,0
 2019-10-18 00:04:15,6.3
 2019-10-19 00:04:18,15.5
 2019-10-20 00:04:19,0
 2019-10-21 00:04:23,5.23
 2019-10-22 00:04:24,9.68
 2019-10-23 00:04:24,4.65
 2019-10-24 00:04:26,63.54
 2019-10-25 00:04:30,15.6
 2019-10-26 00:04:30,0
 2019-10-27 00:04:31,0
 2019-10-28 00:04:33,46.17
 2019-10-29 00:04:37,0
 2019-10-30 00:04:37,0
 2019-10-31 00:04:39,32.15
 2019-11-01 00:04:41,2.35
 2019-11-02 00:04:43,0
 2019-11-03 00:04:44,26.3
 2019-11-04 00:04:47,92.29
 2019-11-05 00:04:49,0
 2019-11-06 00:04:50,1.88
 2019-11-07 00:04:50,10.84
 2019-11-08 00:04:54,19.47
 2019-11-09 00:04:56,0
 2019-11-10 00:04:58,0
 2019-11-11 00:05:01,0
 2019-11-12 00:05:01,0
 2019-11-13 00:05:04,67.14
 2019-11-14 00:05:02,0
 2019-11-15 00:05:05,18
 2019-11-16 00:05:07,34.91
 2019-11-17 00:05:08,23.98
 2019-11-18 00:05:09,0
 2019-11-19 00:05:11,16.29
 2019-11-20 00:05:13,0
 2019-11-21 00:05:15,14.75
 2019-11-22 00:05:18,22.07
 2019-11-23 00:05:20,9.91
 2019-11-24 00:05:20,62.87
 2019-11-25 00:05:23,0
 2019-11-26 00:05:24,53.88
 2019-11-27 00:05:27,21.67
 2019-11-28 00:05:29,24.42
 2019-11-29 00:05:29,19.97
 2019-11-30 00:05:32,0
 2019-12-01 00:05:34,2.46
 2019-12-02 00:05:36,0
 2019-12-03 00:05:36,0
 2019-12-04 00:05:39,0
 2019-12-05 00:05:41,0
 2019-12-06 00:05:42,8.8
 2019-12-07 00:05:44,0
 2019-12-08 00:05:47,20.3
 2019-12-09 00:05:48,61.13
 2019-12-10 00:05:50,0
 2019-12-11 00:05:52,11.19
 2019-12-12 00:05:53,0
 2019-12-13 00:05:56,31.41
 2019-12-14 00:05:58,73.72
 2019-12-15 00:05:59,0
 2019-12-16 00:06:00,123.49
 2019-12-17 00:05:59,32.9
 2019-12-18 00:06:05,74.14
 2019-12-19 00:06:05,2.51
 2019-12-20 00:06:09,0
 2019-12-21 00:06:10,85.39
 2019-12-22 00:06:10,0
 2019-12-23 00:06:14,0
 2019-12-24 00:06:14,62.1
 2019-12-25 00:06:17,0
 2019-12-26 00:06:19,65.05
 2019-12-27 00:06:20,65.64
 2019-12-28 00:06:20,0
 2019-12-29 00:06:25,45.22
 2019-12-30 00:06:25,0
 2019-12-31 00:06:29,5.96
 2020-01-01 00:06:30,44.72
 2020-01-02 00:06:30,0
 2020-01-03 00:06:33,46.11
 2020-01-04 00:06:35,72.47
 2020-01-06 00:06:38,10.65
 2020-01-07 00:06:39,15.45
